id,word,translation_vi,topic,certificate,emoji,emoji_name,emoji_evaluation,image_url
"fl-an-001","bat","con dơi","animals","movers","🦇","bat","✅",""
"fl-an-002","butterfly","con bướm","animals","flyers","🦋","butterfly","✅",""
"fl-an-003","camel","con lạc đà","animals","flyers","🐪","dromedary_camel","✅",""
"fl-an-004","cheetah","con báo săn","animals","flyers","🐆","leopard","⚠️ Cần xem lại (Tên emoji: leopard)",""
"fl-an-005","crab","con cua","animals","flyers","🦀","crab","✅",""
"fl-an-006","crocodile","con cá sấu","animals","starters","🐊","crocodile","✅",""
"fl-an-007","deer","con hươu","animals","flyers","🦌","deer","✅",""
"fl-an-008","dolphin","con cá heo","animals","movers","🐬","dolphin","✅",""
"fl-an-009","eagle","con đại bàng","animals","flyers","🦅","eagle","✅",""
"fl-an-010","flamingo","chim hồng hạc","animals","flyers","🦩","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-an-011","gorilla","con khỉ đột","animals","flyers","🦍","gorilla","✅",""
"fl-an-012","jellyfish","con sứa","animals","starters","🪼","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-an-013","kangaroo","con chuột túi","animals","movers","🦘","kangaroo","✅",""
"fl-an-014","octopus","con bạch tuộc","animals","flyers","🐙","octopus","✅",""
"fl-an-015","parrot","con vẹt","animals","flyers","🦜","parrot","✅",""
"fl-an-016","penguin","chim cánh cụt","animals","movers","🐧","penguin","✅",""
"fl-an-017","shark","con cá mập","animals","movers","🦈","shark","✅",""
"fl-an-018","swan","con thiên nga","animals","flyers","🦢","swan","✅",""
"fl-an-019","whale","con cá voi","animals","movers","🐳","whale","✅",""
"fl-an-020","wolf","con sói","animals","flyers","🐺","wolf","✅",""
"fl-bd-001","ankle","mắt cá chân","body","flyers","🦶","foot","⚠️ Cần xem lại (Tên emoji: foot)",""
"fl-bd-002","beard","râu","body","flyers","🧔","bearded_person","✅",""
"fl-bd-003","chin","cằm","body","flyers","😤","triumph","❌ (Hình mặt thở ra khói)",""
"fl-bd-004","elbow","khuỷu tay","body","flyers","💪","muscle","⚠️ Cần xem lại (Tên emoji: muscle)",""
"fl-bd-005","forehead","trán","body","flyers","🤔","thinking","⚠️ Cần xem lại (Tên emoji: thinking)",""
